id,drive_id,name,mime_type,web_view_link,parent_folder_id,is_root,path,created_at,updated_at,created_by,updated_by,last_indexed,metadata
0010b2bb-d351-4108-96ab-ae02883e9f8f,1AzL-3NjZpfjc1ekkPZrC9fhxStrpH3ci,Garland Announcement.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1AzL-3NjZpfjc1ekkPZrC9fhxStrpH3ci/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true,100iAo8qYwSZaA6Q768oZOe1X92vqAvvs,false,"[""Dynamic Healing Discussion Group"",""2025-02-04 - Garland - Tall Poppy Syndrome"",""Garland Announcement.docx""]",2025-02-10 18:05:04.296888+00,2025-02-10 18:05:04.296888+00,,,,"{""id"":""1AzL-3NjZpfjc1ekkPZrC9fhxStrpH3ci"",""name"":""Garland Announcement.docx"",""mimeType"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document"",""webViewLink"":""https://docs.google.com/document/d/1AzL-3NjZpfjc1ekkPZrC9fhxStrpH3ci/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true""}"
007e1fa8-d5ea-482b-96a6-cc273516ae4e,1MKItSwnGZdUP-h44NvfYLiZk0bysKwdw,9 FINAL The Role of Forgiveness in Chronic Pain and Fibromyalgia.pdf,application/pdf,https://drive.google.com/file/d/1MKItSwnGZdUP-h44NvfYLiZk0bysKwdw/view?usp=drivesdk,1lyNIoeUkBaxkoqecZEQbWImRGUDtjFnv,false,"[""Dynamic Healing Discussion Group"",""2021-03-17-Luskin-forgiveness"",""9 FINAL The Role of Forgiveness in Chronic Pain and Fibromyalgia.pdf""]",2025-02-10 18:07:18.440275+00,2025-02-10 18:07:18.440275+00,,,,"{""id"":""1MKItSwnGZdUP-h44NvfYLiZk0bysKwdw"",""name"":""9 FINAL The Role of Forgiveness in Chronic Pain and Fibromyalgia.pdf"",""mimeType"":""application/pdf"",""webViewLink"":""https://drive.google.com/file/d/1MKItSwnGZdUP-h44NvfYLiZk0bysKwdw/view?usp=drivesdk""}"
0104c1a3-00b2-4622-9210-7ecae15e0123,1ul7Do8T2CRR2PWHT1j96fOoFYaUz30RR,chat.txt,text/plain,https://drive.google.com/file/d/1ul7Do8T2CRR2PWHT1j96fOoFYaUz30RR/view?usp=drivesdk,1fzDqlbr4Z8-vz_APWSAv4SThS4wT838m,false,"[""Dynamic Healing Discussion Group"",""2024-09-04 - Clawson - The nature of anger"",""Presentation.slides"",""chat.txt""]",2025-02-10 18:05:29.112568+00,2025-02-10 18:05:29.112568+00,,,,"{""id"":""1ul7Do8T2CRR2PWHT1j96fOoFYaUz30RR"",""name"":""chat.txt"",""mimeType"":""text/plain"",""webViewLink"":""https://drive.google.com/file/d/1ul7Do8T2CRR2PWHT1j96fOoFYaUz30RR/view?usp=drivesdk""}"
013d2b58-af09-4563-b0dc-f0e9e1014472,1t1TBRRIGsQg-hLPEEWsvSOWLiFC8zLOI,Robert Dantzer.m4a,audio/x-m4a,https://drive.google.com/file/d/1t1TBRRIGsQg-hLPEEWsvSOWLiFC8zLOI/view?usp=drivesdk,1rfELgE2K3baXlaJDc6jZc2ZWVERrMvAw,false,"[""Dynamic Healing Discussion Group"",""2021-03-03-Dantzer.Resiliency and Immunity"",""Robert Dantzer.m4a""]",2025-02-10 18:07:21.47406+00,2025-02-10 18:07:21.47406+00,,,,"{""id"":""1t1TBRRIGsQg-hLPEEWsvSOWLiFC8zLOI"",""name"":""Robert Dantzer.m4a"",""mimeType"":""audio/x-m4a"",""webViewLink"":""https://drive.google.com/file/d/1t1TBRRIGsQg-hLPEEWsvSOWLiFC8zLOI/view?usp=drivesdk""}"
015d54b7-dbfe-42d1-b344-97828de23ba2,1NdkmyMBPY9M-VDltfauCMxH5R4W3LWBh,Naviaux Announcement.3.2.22.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1NdkmyMBPY9M-VDltfauCMxH5R4W3LWBh/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true,1U1kP7kEujCykFLWWb2jlpnnbHlqiarrg,false,"[""Dynamic Healing Discussion Group"",""2022-03-02-Naviaux-Mitochondria.Metabolism"",""Naviaux Announcement.3.2.22.docx""]",2025-02-10 18:06:42.431427+00,2025-02-10 18:06:42.431427+00,,,,"{""id"":""1NdkmyMBPY9M-VDltfauCMxH5R4W3LWBh"",""name"":""Naviaux Announcement.3.2.22.docx"",""mimeType"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document"",""webViewLink"":""https://docs.google.com/document/d/1NdkmyMBPY9M-VDltfauCMxH5R4W3LWBh/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true""}"
017fe5b6-21a9-4b63-ab7b-27efcc8644f3,1nzwkwJXjHOAMxUCBdI9yyghF4diiDmt0,2023-02-15-Yoni Ashar-PRT,application/vnd.google-apps.folder,https://drive.google.com/drive/folders/1nzwkwJXjHOAMxUCBdI9yyghF4diiDmt0,,false,"[""Dynamic Healing Discussion Group"",""2023-02-15-Yoni Ashar-PRT""]",2025-02-10 18:06:21.01126+00,2025-02-10 18:06:21.600469+00,,,,"{""id"":""1nzwkwJXjHOAMxUCBdI9yyghF4diiDmt0"",""kind"":""drive#file"",""name"":""2023-02-15-Yoni Ashar-PRT"",""owners"":[{""me"":false,""kind"":""drive#user"",""photoLink"":""https://lh3.googleusercontent.com/a-/ALV-UjVno9MEleSFz7BBtrR9O1yg-yppsDBmBMzvX9pmZG4fZwLxXJGl=s64"",""displayName"":""dnhanscom"",""emailAddress"":""dnhanscom@gmail.com"",""permissionId"":""06069331640271465559""}],""shared"":true,""spaces"":[""drive""],""parents"":[""1wriOM2j2IglnMcejplqG_XcCxSIfoRMV""],""starred"":false,""trashed"":false,""version"":""58"",""iconLink"":""https://drive-thirdparty.googleusercontent.com/16/type/application/vnd.google-apps.folder+shared"",""mimeType"":""application/vnd.google-apps.folder"",""ownedByMe"":false,""viewedByMe"":true,""createdTime"":""2023-02-13T01:38:05.009Z"",""permissions"":[{""id"":""anyoneWithLink"",""kind"":""drive#permission"",""role"":""reader"",""type"":""anyone"",""allowFileDiscovery"":false},{""id"":""06069331640271465559"",""kind"":""drive#permission"",""role"":""owner"",""type"":""user"",""deleted"":false,""photoLink"":""https://lh3.googleusercontent.com/a-/ALV-UjVno9MEleSFz7BBtrR9O1yg-yppsDBmBMzvX9pmZG4fZwLxXJGl=s64"",""displayName"":""dnhanscom"",""emailAddress"":""dnhanscom@gmail.com"",""pendingOwner"":false},{""id"":""17738109365135300878"",""kind"":""drive#permission"",""role"":""writer"",""type"":""user"",""deleted"":false,""photoLink"":""https://lh3.googleusercontent.com/a-/ALV-UjVVCiS3xIsuBZIWSFALKUuR5zQ24JSjDulNlhZdxyBViKlH_Q=s64"",""displayName"":""tthuman"",""emailAddress"":""tthuman@yahoo.com"",""pendingOwner"":false},{""id"":""11332841195086599472"",""kind"":""drive#permission"",""role"":""writer"",""type"":""user"",""deleted"":false,""photoLink"":""https://lh3.googleusercontent.com/a/ACg8ocL8wG1cIVtZuneOxvdhPhBb2pG723JxJzP3V6Krsp7uLbNEWg=s64"",""displayName"":""Ray Bunnage"",""emailAddress"":""bunnage.ray@gmail.com"",""pendingOwner"":false},{""id"":""05760089854625908956"",""kind"":""drive#permission"",""role"":""writer"",""type"":""user"",""deleted"":false,""photoLink"":""https://lh3.googleusercontent.com/a-/ALV-UjVX8izw51lGXLIn6api53N0VG687xqWrdzYmJVVz4_F5tim2Oc=s64"",""displayName"":""dhg-drive-helper"",""emailAddress"":""dhg-drive-helper@fabled-imagery-444902-k1.iam.gserviceaccount.com"",""pendingOwner"":false}],""webViewLink"":""https://drive.google.com/drive/folders/1nzwkwJXjHOAMxUCBdI9yyghF4diiDmt0"",""capabilities"":{""canCopy"":false,""canEdit"":true,""canShare"":true,""canTrash"":false,""canDelete"":false,""canRename"":true,""canComment"":true,""canUntrash"":false,""canDownload"":true,""canReadLabels"":false,""canAddChildren"":true,""canListChildren"":true,""canModifyLabels"":false,""canModifyContent"":true,""canReadRevisions"":false,""canRemoveChildren"":true,""canAcceptOwnership"":false,""canAddMyDriveParent"":false,""canMoveItemOutOfDrive"":false,""canMoveItemWithinDrive"":true,""canRemoveMyDriveParent"":true,""canMoveItemIntoTeamDrive"":false,""canMoveChildrenWithinDrive"":true,""canModifyContentRestriction"":false,""canRemoveContentRestriction"":false,""canChangeSecurityUpdateEnabled"":false,""canChangeViewersCanCopyContent"":false,""canModifyOwnerContentRestriction"":false,""canModifyEditorContentRestriction"":false,""canChangeCopyRequiresWriterPermission"":false},""hasThumbnail"":false,""modifiedByMe"":false,""modifiedTime"":""2023-02-13T01:38:05.009Z"",""permissionIds"":[""anyoneWithLink"",""06069331640271465559"",""17738109365135300878"",""11332841195086599472"",""05760089854625908956""],""folderColorRgb"":""#8f8f8f"",""quotaBytesUsed"":""0"",""viewedByMeTime"":""2023-02-16T09:22:24.718Z"",""isAppAuthorized"":false,""writersCanShare"":true,""thumbnailVersion"":""0"",""explicitlyTrashed"":false,""lastModifyingUser"":{""me"":false,""kind"":""drive#user"",""photoLink"":""https://lh3.googleusercontent.com/a-/ALV-UjVno9MEleSFz7BBtrR9O1yg-yppsDBmBMzvX9pmZG4fZwLxXJGl=s64"",""displayName"":""dnhanscom"",""emailAddress"":""dnhanscom@gmail.com"",""permissionId"":""06069331640271465559""},""linkShareMetadata"":{""securityUpdateEnabled"":true,""securityUpdateEligible"":false},""viewersCanCopyContent"":true,""copyRequiresWriterPermission"":false}"
021305af-b26a-4554-ae38-07420fe520fe,1CwNv0zR0UcdzCZxJ2V5y1sWXYdWYyMdE,chat.txt,text/plain,https://drive.google.com/file/d/1CwNv0zR0UcdzCZxJ2V5y1sWXYdWYyMdE/view?usp=drivesdk,1nsDiKIQF0-a90Q9wJLNYAuPdiCZ8AUaY,false,"[""Dynamic Healing Discussion Group"",""2024-09-15 - Wilkinson - Social inequity and health"",""Chat"",""chat.txt""]",2025-02-10 18:05:31.460491+00,2025-02-10 18:05:31.460491+00,,,,"{""id"":""1CwNv0zR0UcdzCZxJ2V5y1sWXYdWYyMdE"",""name"":""chat.txt"",""mimeType"":""text/plain"",""webViewLink"":""https://drive.google.com/file/d/1CwNv0zR0UcdzCZxJ2V5y1sWXYdWYyMdE/view?usp=drivesdk""}"
0258c74e-5d58-42ef-aa54-541e1c474f80,1FXDVmRLZkqWAfuQ2HQZ7_5CcyV-lKwkh,Germer.Chronic Disease Discussion Group.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1FXDVmRLZkqWAfuQ2HQZ7_5CcyV-lKwkh/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true,1yCzyg3WkURJpdc7V--o7oyOaF8ueWSvb,false,"[""Dynamic Healing Discussion Group"",""2021-09-15-Chris Germer-Science of Self Compassion"",""Germer.Chronic Disease Discussion Group.docx""]",2025-02-10 18:06:55.541109+00,2025-02-10 18:06:55.541109+00,,,,"{""id"":""1FXDVmRLZkqWAfuQ2HQZ7_5CcyV-lKwkh"",""name"":""Germer.Chronic Disease Discussion Group.docx"",""mimeType"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document"",""webViewLink"":""https://docs.google.com/document/d/1FXDVmRLZkqWAfuQ2HQZ7_5CcyV-lKwkh/edit?usp=drivesdk&ouid=104704098205919418588&rtpof=true&sd=true""}"
025c0527-2769-47e2-af76-9b661fa897a9,15QDwwrMmN5B1Mwsk0593datx7RNaDS3a,Neil.Nathan.11.16.22.m4a,audio/x-m4a,https://drive.google.com/file/d/15QDwwrMmN5B1Mwsk0593datx7RNaDS3a/view?usp=drivesdk,1pE1DtmaMJdSky2Rm73hal3D7mPlLg-jO,false,"[""Dynamic Healing Discussion Group"",""2022-11-16-Neil Nathan - Unsually Sensitive Patient"",""Neil.Nathan.11.16.22.m4a""]",2025-02-10 18:06:27.064737+00,2025-02-10 18:06:27.064737+00,,,,"{""id"":""15QDwwrMmN5B1Mwsk0593datx7RNaDS3a"",""name"":""Neil.Nathan.11.16.22.m4a"",""mimeType"":""audio/x-m4a"",""webViewLink"":""https://drive.google.com/file/d/15QDwwrMmN5B1Mwsk0593datx7RNaDS3a/view?usp=drivesdk""}"
02f2d4ad-2bed-4f67-bda5-254163e2169c,1jY0H8-U9w-wf9rOYrSrL8HEVlm9ZSYrR,Meehan.Somatic Practices Review.CP.2021.pdf,application/pdf,https://drive.google.com/file/d/1jY0H8-U9w-wf9rOYrSrL8HEVlm9ZSYrR/view?usp=drivesdk,1IIGNMGBZpVrGiEM8BUmxL-ZfmdL3b9Fx,false,"[""Dynamic Healing Discussion Group"",""2021-02-17-Walling-Somatic Experiencing"",""Meehan.Somatic Practices Review.CP.2021.pdf""]",2025-02-10 18:07:23.632547+00,2025-02-10 18:07:23.632547+00,,,,"{""id"":""1jY0H8-U9w-wf9rOYrSrL8HEVlm9ZSYrR"",""name"":""Meehan.Somatic Practices Review.CP.2021.pdf"",""mimeType"":""application/pdf"",""webViewLink"":""https://drive.google.com/file/d/1jY0H8-U9w-wf9rOYrSrL8HEVlm9ZSYrR/view?usp=drivesdk""}"
